Mew's Shoes,~
Nickoop,&
Professor Oak Jr.,&
Scepunny,@
PhantomKid,@
Philmiester,%
Brkenhpe,~
Nightcloud,~
Frage,@
Gamebraker,@
Broken Hope,~
